antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'conjunctions', 'tense'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'prepositions', 'conjunctions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns', 'tense'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns', 'determiners'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense', 'determiners'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'tense', 'determiners'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns'})","frozenset({'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense'})","frozenset({'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})","frozenset({'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'tense'})","frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'determiners'})","frozenset({'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'determiners'})","frozenset({'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'nouns', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'main_verbs', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'main_verbs', 'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'main_verbs', 'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'nouns', 'tense'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns', 'tense', 'determiners'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns', 'tense', 'determiners'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'nouns', 'determiners'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'tense', 'determiners'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns', 'tense'})","frozenset({'prepositions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns', 'tense'})","frozenset({'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'tense', 'determiners'})","frozenset({'prepositions', 'conjunctions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'nouns'})","frozenset({'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns', 'determiners'})","frozenset({'prepositions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns', 'determiners'})","frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'tense'})","frozenset({'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense', 'determiners'})","frozenset({'prepositions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense', 'determiners'})","frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'determiners'})","frozenset({'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'tense'})","frozenset({'prepositions', 'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})","frozenset({'prepositions', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns'})","frozenset({'conjunctions', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'determiners'})","frozenset({'prepositions', 'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense'})","frozenset({'prepositions', 'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense'})","frozenset({'conjunctions', 'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'determiners'})","frozenset({'prepositions', 'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions'})","frozenset({'nouns', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners'})","frozenset({'prepositions', 'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'determiners'})","frozenset({'conjunctions', 'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'prepositions', 'conjunctions', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'prepositions', 'conjunctions', 'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'nouns', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'nouns', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'prepositions', 'conjunctions', 'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns', 'tense'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns', 'determiners'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense', 'determiners'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'tense', 'determiners'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})","frozenset({'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense'})","frozenset({'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners'})","frozenset({'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'tense'})","frozenset({'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'determiners'})","frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'determiners'})","frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'nouns', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'conjunctions', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'conjunctions', 'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'conjunctions', 'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'prepositions', 'conjunctions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'tense'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'determiners'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense', 'determiners'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense', 'determiners'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs'})","frozenset({'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense'})","frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'determiners'})","frozenset({'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense'})","frozenset({'prepositions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})","frozenset({'prepositions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'determiners'})","frozenset({'prepositions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'main_verbs', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'prepositions', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'prepositions', 'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'prepositions', 'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'prepositions', 'conjunctions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'determiners'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'determiners'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'determiners'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'prepositions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'prepositions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'tense', 'conjunctions', 'main_verbs', 'prepositions'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'tense', 'conjunctions', 'main_verbs', 'determiners'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'tense', 'main_verbs', 'prepositions', 'determiners'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'tense', 'conjunctions', 'prepositions', 'determiners'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'conjunctions', 'main_verbs', 'prepositions', 'determiners'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'conjunctions', 'main_verbs', 'prepositions', 'determiners'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'nouns', 'tense'})","frozenset({'prepositions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'nouns', 'tense'})","frozenset({'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns', 'tense', 'determiners'})","frozenset({'prepositions', 'conjunctions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'nouns', 'tense'})","frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns', 'tense', 'determiners'})","frozenset({'prepositions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns', 'tense', 'determiners'})","frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'nouns', 'prepositions'})","frozenset({'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'nouns', 'determiners'})","frozenset({'prepositions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'nouns', 'determiners'})","frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'nouns', 'determiners'})","frozenset({'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'tense', 'prepositions'})","frozenset({'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'tense', 'determiners'})","frozenset({'prepositions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'tense', 'determiners'})","frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'tense', 'determiners'})","frozenset({'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'prepositions', 'determiners'})","frozenset({'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns', 'tense'})","frozenset({'prepositions', 'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns', 'tense'})","frozenset({'prepositions', 'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns', 'tense'})","frozenset({'conjunctions', 'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'tense', 'determiners'})","frozenset({'conjunctions', 'main_verbs', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'nouns'})","frozenset({'prepositions', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'nouns'})","frozenset({'conjunctions', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns', 'determiners'})","frozenset({'prepositions', 'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'nouns'})","frozenset({'main_verbs', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns', 'determiners'})","frozenset({'prepositions', 'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns', 'determiners'})","frozenset({'conjunctions', 'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'tense'})","frozenset({'prepositions', 'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'tense'})","frozenset({'conjunctions', 'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense', 'determiners'})","frozenset({'prepositions', 'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'tense'})","frozenset({'main_verbs', 'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense', 'determiners'})","frozenset({'prepositions', 'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense', 'determiners'})","frozenset({'conjunctions', 'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'prepositions'})","frozenset({'nouns', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'determiners'})","frozenset({'prepositions', 'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'determiners'})","frozenset({'conjunctions', 'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions', 'determiners'})","frozenset({'main_verbs', 'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
