question_id,question_text,option_A,option_B,option_C,option_D,key_answer,Level
34,"The narwhal resembles like other whales, but it has a long, spiral tush growing from its head.",resembles like,a long,growing,its,resembles like,Level 2
35,Lillian Gish is best known for her roles in such silently films as The Birth of a Nation and Broken Blossoms.,best,roles,silently,as,silently,Level 1
36,It may take several hundred years to build inch of topsoil.,It,may take,hundred years,build inch,build inch,Level 2
37,"Known for power, speed, and, maneuverability, the goshawk has short wings and a long tail, enabling them to dodge branches in pursuit of prey.",speed,a,enabling,them,them,Level 1
38,"Lubrication is essential in machinery because if the moving part of a machine come into direct contact with each other, friction interferes with motion.",if,moving part,direct contact,each other,moving part,Level 2
39,One basic principle of international air law recognize a country's complete sovereignty over the airspace above its territory.,international,recognize,over,territory,recognize,Level 2
40,"If biennials were planted this year, they will be likely to bloom next year",will be,likely,to bloom,next year,will be,Level 1
41,The value of the dollar declines as the rate of inflation raises.,of the dollar,declines,as,raises,raises,Level 2
42,"I want to go to the beach, but I can neither swim nor I don't like the sun.",but I can,neither swim,nor I don't like the sun,sun,nor I do n't like the sun,Level 3
43,"Although she was tired, but she decided to finish her homework before going to bed.",Although she was tired,but she decided,to finish,going to bed,but she decided,Level 2
44,I enjoy studying geography at school and now I have enrolled at the Economics Faculty.,enjoy,studying,enrolled,Economics,enjoy,Level 2
45,The teachers are expecting to calling a meeting tomorrow in order to review the disciplinary problems,expecting,calling,meeting,the,calling,Level 1
46,I want some meet your sister when she comes to see you she sounds very nice.,I,some,when,very,some,Level 1
47,My friends tell mine the English exam is quite difficult but I am not worried.,mine,exam,quite,not,mine,Level 1
48,"The tickets, which are extremely good value, can be buy from large supermarkets.",tickets,which,good,buy,buy,Level 2
49,The number of people who asked for the discount been low but grew during the summer period.,who,asked,been,grew,been,Level 1
50,He wanted always to be a doctor and after doing medicine he now works in a hospital.,wanted,a,after,works,wanted,Level 2
51,The informations they give us was not very helpful so I consulted the website instead.,informations,give,helpful,so,give,Level 1
52,"There isn’t much time, do you think we should get a taxi beneath the exhibition centre?.",much,do,think,beneath,beneath,Level 2
53,The policeman show us an identical picture of the man who stole the car.,show,identical,stole,the,show,Level 2
54,How long does it take to get of the station on foot from your house?,does,of,from,your,of,Level 2
55,I was so angry that I took the broken watch to the jewellers to got my money back.,was,so,to,got,got,Level 1
56,I will not be able to go in holiday this year unless I will get a part-time job.,be,in,this,unless,in,Level 2
57,It being such a nice day that they decided to have a picnic in the field.,being,such,that,in,being,Level 1
58,I haven't never seen anybody who rides a horse so well before.,haven't,anybody,rides,so well,have n't,Level 2
59,"My boyfriend always taking me to see horror films, but I do not like them.",My,boyfriend,taking,do,taking,Level 2
60,We went to Guatemala last year of we were tired of the usual beach holiday.,went,of,tired,the,of,Level 2
61,"After quartz, calcite is the most abundant mineral aboard the crust of the Earth.",After,most,aboard,of,aboard,Level 2
62,"Regards as the world’s foremost linguistic theorist, Noam Chomsky continues to create new theories about language and language learning.",Regards,the,Chomsky,to,Regards,Level 1
63,"Whenever any area receives more water than the ground can absorb, the excess water flows to the lowest level, carried loose mineral.",Whenever,than,to,carried,carried,Level 2
64,In 1935 seismologist Charles F Richter devise a numerical scale for rating the strength of earthquakes.,In,devise,for,of,devise,Level 2
65,After a Second World War the woman wage earner became a standard part of middle-class life in the United States.,After,a,Second,became,a,Level 1
66,"Celluloid and plastics have largely replaced genuine ivory in the manufacture like such things as buttons, billiard balls, and piano keys.",have,replaced,in,like,like,Level 2
67,One of the tenets during New Criticism is that a critic need not tell readers what to think about a story.,the,during,is,what,during,Level 2
68,"The outer ear, which included the fleshy pinna and the auditory canal, picks up and funnels sound waves toward the eardrum.",The,included,picks,toward,included,Level 2
69,"An chair may be the oldest type of furniture, although its importance has varied from time to time and from country to country.",An,of,although,varied,An,Level 2
70,"When wood, natural gas, oil, or any other fuel burns, substances in the fuel was combined with oxygen in the air to produce heat.",in,was,with,produce,was,Level 2
71,Deserts are arid land areas where more water was lost through evaporation than is gained through precipitation.,are,land,was,lost,was,Level 1
72,"When goshawk chicks are young, both parents had shared in the hunting duties and in guarding the nest.",goshawk,are,had shared,the,had shared,Level 2
73,"Not only is whales among the largest animals that ever lived, but they are also among the most intelligent.",is,that,are,the,is,Level 1
74,"Fish are the most ancient form of vertebrate life, and from them have evolved all other vertebrates.",are,ancient,of,have evolved,have evolved,Level 2
75,"There is about 350 species of sharks, and although they are all carnivorous, only a few species will attack people.",is,about,are,all,is,Level 2
76,"In the United States, there are many holidays throughout a year.",the,there,many,a,a,Level 1
77,Tomatoes growing all year long in Florida.,Tomatoes,growing,all,in,growing,Level 1
78,Even thinks my aunt lost the beauty contest she is still the prettiest of all the other contestants.,thinks,lost,is,prettiest,thinks,Level 2
79,I try to figuring out the answer of what the function of the organization is.,figuring,of,what,is,figuring,Level 2
80,"The huge have increased in popularity of specialty coffees has contributed to the success of Starbucks, Barney’s and other coffee purveyors.",huge,have increased,contributed,and,have increased,Level 2
81,"When the silkworm gets through to lay its eggs, it dies.",the silkworm,to lay,its,it dies,to lay,Level 2
82,A barometer is a device with a sealed metal chamber designed to reading the changes in the pressure of air in the atmosphere.,A barometer,sealed,to reading,air,to reading,Level 2
83,"Since lightning was probably significant in the formation of life, understanding it might help us to understanding life itself.",it,might help,to understanding,itself,to understanding,Level 2
84,"If the oxygen supply in the atmosphere was not replenished by plants, it would soon be exhausted.",in the atmosphere,was,by plants,exhausted,was,Level 2
85,"The Girl Scouts, which was found by Juliette Gordon Low in 1912, has grown to a current membership of more than three million girls.",found,in 1912,has grown,more than,found,Level 2
86,It is generally believed that Thomas Jefferson was the one who had researched and wrote the Declaration of Independence during the months prior to its signing in July 1776.,It is generally believed,wrote,its signing,in July 1776,wrote,Level 2
87,"Although some higher structures have been build in New York City, none characterizes the skyline better than the Empire State Building.",some higher structures,have been build,characterizes,better than,have been build,Level 2
88,Research in genetics and DNA having had a profound influence on the direction of treatment for a large number of diseases.,having,profound,on,a large number,having,Level 2
89,"Bones composed chiefly of calcium, phosphorous, and a fibrous substance known as collagen.",Bones,composed,chiefly,known as,composed,Level 2
90,"During the past decade, twenty million college graduates spended more than fifty billion dollars in ten-year student loans.",During,spended,more than,ten-year,spended,Level 2
91,There is no limit to the diversity to be finding in the cultures of people throughout the world.,no,finding,cultures,people,finding,Level 2
92,The government requires that a census taken every ten years so that accurate statistics may be compiled.,taken,every ten years,statistics,may be compiled,taken,Level 2
93,It is important that cancer is diagnosed and treated as early as possible in order to assure a successful cure.,is,diagnosed,as early as possible,to assure,is,Level 2
94,"Before railroad lines were extended from Missouri to New Mexico, millions of dollars in trade was used to be carried over the Santa Fe Trail by wheeled wagons.",railroad lines,extended,was used to be carried,by wheeled wagons,was used to be carried,Level 3
95,"Based on a decline in vehicular deaths during the past decade, seat belts, air bags, baby seats, and other safety features in newer automobiles must be save lives.",baby seats,newer,save,lives,save,Level 2
96,The gold used in jewelry is not strong enough unless it be alloyed,The gold,strong enough,it,be,be,Level 1
97,General damage that been caused by aphids or pollution is sometimes known as blight.,been caused,by aphids or pollution,sometimes,known as,been caused,Level 2
98,"Fred Astaire is said to had been the most popular dancer of his time, but he was also a talented actor, singer, and choreographer.",is said,had been,the most popular dancer,talented,had been,Level 1
99,The understanding electricity depends on a knowledge of atoms and the subatomic particles of which they are composed.,The understanding,electricity,depends on,are composed,The understanding,Level 2
100,The U.S. Postal Service delivers more mails in one day than Federal Express does in one year.,more,mails,than,does,mails,Level 1
101,One of the most distinctive plant found in the desert is the Saguaro cactus.,most,plant,found,the,plant,Level 1
102,A thunder usually follows by lightning by five seconds for every mile between the flash and the observer.,A thunder,usually,for every mile,between,A thunder,Level 2
103,The stories of Dr. Seuss have been enjoyed by millions of childrens.,The stories,have been enjoyed,by millions,childrens,childrens,Level 1
104,Collections of the simple and functional Shaker furniture can be seen in museum throughout the United States.,Collections,furniture,can be seen,in museum,in museum,Level 2
105,The decathlon is a two-day athletic competition which consists of ten types track and field events.,two-day,athletic competition,which,ten types,ten types,Level 1
106,Provide pensions for retired persons is the primary function of the social security system.,Provide,pensions,is,the primary function,Provide,Level 1
107,New equipments for medical diagnosis have made many formerly unpleasant procedures quite painless.,equipments,have made,formerly,procedures,equipments,Level 1
108,Sloths spend most of its time hanging upside down from trees and feeding on leaves and fruit.,most,its,feeding,fruit,its,Level 1
109,"When the European settlers came in the seventeenth century, the newcomers began a systematic effort to push the Native Americans into the wilderness and to take their land from their.",in the seventeenth century,to push,their land,from their,from their,Level 2
110,"After Dr. Werner Arber discovered restriction enzymes, Drs. Daniel Nathan, Hamilton Smith, and him were awarded the Nobel Prize for their research in that field.",discovered,him,were awarded,their,him,Level 1
111,There are not many people which adapt to a new culture without feeling some disorientation at first.,are,many,which,feeling,which,Level 1
112,Those of us who have a family history of heart disease should make yearly appointments with their doctors.,who,should make,yearly,their,their,Level 1
113,"George Herman Ruth, which was better known as Babe Ruth, began his baseball career in 1914 with the Baltimore Orioles.",which,better,as,began,which,Level 1
114,"The first full-length animated movie, Snow White, was produced by Walt Disney whom creative genius also inspired such animated classics as Bambi and Cinderella.",The first,was produced,whom,such,whom,Level 1
115,"In advanced stages of anorexia, the patient is unable to feed themself.",advanced,the patient,to feed,themself,themself,Level 1
116,"It is documented that Custer led his troops into a ravine near the Little Big Horn, where a huge army of Sioux Indians was waiting for they.",It is documented,led,was waiting,they,they,Level 1
117,The sea horse is unique among fish because the female deposits their eggs in a pouch that the male carries until the small sea horses are hatched.,among,because,their eggs,are hatched,their eggs,Level 2
118,There are more potatoes cultivated than any the other vegetable crop worldwide.,There are,cultivated,the other,vegetable crop,the other,Level 1
119,"At the core of a star, temperatures and pressures are so great as particles collide and connect in a process called fusion.",At the core,so great as,in a process,called,so great as,Level 2
120,The Cartwheel Galaxy is 500 million light year away from Earth.,is,light year,from,Earth,light year,Level 1
121,"Because none of food is as nutritious for a baby as its mother's milk, many women are returning to the practice of breast feeding.",none of food,as nutritious,its,many women,none of food,Level 2
122,"Euthanasia, the practice of assisting the death of a person suffering from an incurable disease, is such a controversial issue as it is illegal in most countries.",suffering,as,it is,in most countries,as,Level 2
123,"The conversations on the TOEFL will be spoken just one time; therfore, you must listen very careful in order to understand what the speakers have said.",will be spoken,very careful,to understand,what,very careful,Level 1
124,"Gold, silver, and copper coins are often alloyed with harder metals to make them hard as enough to withstand wear.",harder,make,them,hard as enough,hard as enough,Level 2
125,"Alligators are about the same color than crocodiles, although the adults may be slightly darker with broader heads and blunter noses.",about,than,may be,blunter,than,Level 2
126,Laser discs provide images of best quality than those of either television signals or video tapes.,provide,best quality,those,either,best quality,Level 1
127,The New York City subway system is the most longest underground railroad operating in the world.,subway system,the most longest,underground railroad,operating,the most longest,Level 2
128,School children in the same grade in American schools are usually the same old as their classmates.,the same grade,are,usually,the same old,the same old,Level 1
129,"Benjamin Franklin was the editor of the larger newspaper in the colonies, a diplomatic representative to France and later to England, and the inventor of many useful devices.",was,the larger,the inventor,many,the larger,Level 1
130,The standard for cleanliness in the area where a microchip is manufactured is same that of an operating room in a hospital.,where,a microchip,is manufactured,same,same,Level 1
131,"Mountain bikes differ ordinary bicycles in that they have ten or more gears, a more rugged frame, and wider treads on the tires.",differ,they,more rugged,wider,differ,Level 2
132,"Because the expense of traditional fuels and the concern that they might run out, many countries have been investigating alternative sources of power.",Because,they,might run out,have been investigating,Because,Level 2
133,Only seventeen on one hundred business calls get through to the correct person on the first attempt.,on,business calls,get through to,the first,on,Level 2
134,The concept of lift in aerodynamics refers to the relationship among the increased speed of air over the top of a wing and the higher pressure of the slower air underneath.,refers to,among,increased,the slower air,among,Level 3
135,A prism is used to refract light so as it spreads out in a continuous spectrum of colors.,to refract,so as,it,of colors,so as,Level 2
136,Nuclear power plants are still supported by the society of Professional Engineers in spite unfortunate accidents like the one at Three Mile Island.,still,by,in spite,at,in spite,Level 2
137,National parks include not only the most scenic places in the nation but places distinguished for their historic or scientific interest.,include,the most scenic,but,distinguished,but,Level 1
138,"The plastic arts, mainly sculpture and ceramics, that are produced by modeling or molding the materials into interesting shapes.",The,mainly,that are,by modeling or molding,that are,Level 2
139,"Ocean currents that help transfer heat from the equator to the poles, thereby creating a more balanced global environment.",that,heat,creating,more balanced,that,Level 1
140,Gas and dust that stream away from a comet forming one or more tails that may extend for millions of miles.,Gas and dust,stream,forming,that may extend,forming,Level 2
141,"The Northwest Ordinances which regulated the sale and settlement of land between the Great Lakes and the Mississippi River, territories still occupied by American Indian nations.",which,between,occupied,by American Indian nations,which,Level 2
142,"The larva of the boll weevil, which it feeds on the immature pods of the cotton plant, often destroying an entire crop.",The larva,which it feeds,cotton plant,destroying,which it feeds,Level 1
143,"By studying the fossils of pollen, which extremely resistant to decay, researchers can gain useful information about the vegetation of the past.",By studying,which,can gain,information,which,Level 2
144,The attribution of human characteristics to animals or inanimate objects appears in the mythologies of many cultures is a literary device called anthropomorphism.,The attribution,appears,many cultures,called,appears,Level 2
145,"Although there are approximately 120 intensive language institutes in the United States in 1970, there are more than four times as many now.",are,approximately,in,four times as many,are,Level 2
146,Cartographers cannot make an accurate map because the political situation in many areas changes so rapidly that they were not able to draw the boundaries correctly.,so,were,to draw,correctly,were,Level 1
147,"Although Emily Dickinson publishes only three of her verses before she died, today there are more than one thousand of her poems printed in many important collections.",publishes,only,are,more than,publishes,Level 1
148,Dew usually disappeared by seven o'clock in the morning when the sun comes up.,usually,disappeared,by,in the morning,disappeared,Level 2
149,"Seven months before the stock market crashed in 1929, President Hoover said that the economy of the nation is secure.",stock,in,is,secure,is,Level 1
150,Most archaeologists agree that humans are living in the area around Philadelphia for about twelve thousand years.,Most,are living,for,about,are living,Level 1
151,"Although we once thought that Saturn has only seven rings, we now know that it has hundreds of rings extending for thousands of miles.",has,it,extending,miles,has,Level 1
152,"In 1975, according to the National Center for Health Statistics, the average life expectancy for people born during that year is 72.4 years.",according,born,during,is,is,Level 1
153,"Champlain founded a base at Port Royal in 1605, and builds a fort at Quebec three years later.",founded,in 1605,builds,Quebec,builds,Level 2
154,"According to the Congressional Record, almost one third of all new laws in 1991 are passed to celebrate some day, week, or month for a special interest group's purposes, such as Music Week.",According to,all new laws,are passed,to celebrate,are passed,Level 2
155,"The first significant engagement of the American Revolution occurs on June 17, 1775, and has been referred to as the Battle of Bunker Hill.",The first,occurs,on June 17,has been referred to,occurs,Level 2
156,"Originally, the purpose of a sampler is to record complex stitches so that they could be duplicated later.",Originally,is,to record,they,is,Level 2
157,Many ancient cultures begin their spiritual life by worshipping the Sun.,Many,begin,their,by worshipping,begin,Level 2
158,Both a term paper and a final exam is often required for a college class.,and,is,required,for,is,Level 1
159,The popularity of soccer in the United States were increased significantly by the playing of the World Cup in cities throughout the country in 1994.,were increased,significantly,the playing,in 1994,were increased,Level 3
160,"Not one in a hundred seeds develop into a healthy plant, even under laboratory conditions.",in a hundred,develop,into,even,develop,Level 2
161,Benjamin Franklin strongly objected to the eagle's being chosen as the national bird because of their predatory nature.,strongly,to,because of,their,their,Level 2
162,"In order to grow well, the Blue Spruce, like other pine trees, require a temperate climate.",well,like,other,require,require,Level 2
163,Few airports in the United States is as modern as that of Atlanta.,is,as,that,of,is,Level 2
164,"Work on improving industrial disposal methods were begun in the early 1970s, shortly after the Clean Air bill was passed by Congress.",on improving,were,shortly,by Congress,were,Level 3
165,The officials of the Board of Elections asked that each voter present their registration card and a valid Texas driver's license before receiving a ballot.,present,their,driver's,receiving,their,Level 1
166,"If one has a special medical condition such as diabetes, epilepsy, or allergy, it is advisable that they carry some kind of identification in order to avoid being given improper medication in an emergency.",has,they,carry,being,they,Level 1
167,"A large percentage of federal employees are participating in an experimental four-day work week aimed at curbing gasoline consumption and pollution, two of the most urgent problems facing cities today.",are participating,four-day,work week,the most urgent problems,are participating,Level 2
168,One-cent coins issued in the United States since 1982 is 96 percent zinc.,One-cent,issued,since 1982,is,is,Level 2
169,"According to a team of scientists, there are evidence that Mount Everest is still rising.",According to,a team of scientists,there are,rising,there are,Level 2
170,"The urinary system, including both the bladder and the kidneys, are contained in the cavities of the trunk.",The urinary system,including,and,are contained,are contained,Level 2
171,"In the 1920s, Art Deco, known for plastic and chrome-plated objects, were very popular.",In the 1920s,known,chrome-plated,were,were,Level 2
172,"After finishing Roots, the one-hundred-year history of an African-American family, the Nobel Prize committee awarded author Alex Haley a special citation for literary excellence.",After finishing,the one-hundred-year,awarded,for,After finishing,Level 3
173,"A competitive sport, gymnasts perform before officials who must use their judgment along with their knowledge of the rules to determine the relative skill of each participant.",A competitive sport,who,along with,to determine,A competitive sport,Level 2
174,"To remove stains from permanent press clothing, carefully soaking in cold water before washing with a regular detergent.",from,carefully soaking,before washing,a,carefully soaking,Level 3
175,"Found in Tanzania by Mary Leakey, some archeologists estimated that the three-million-year-old fossils were the oldest human remains to be discovered.",Found in Tanzania by Mary Leakey,three-million-year-old,the oldest,to be discovered,Found in Tanzania by Mary Leakey,Level 3
176,"Originally having been buried in Spain, and later moved to Santo Domingo in the Dominican Republic, Columbus's final resting place is in",Originally,been,in Spain,Columbus's final resting place is,Columbus 's final resting place is,Level 3
177,"Written by Neil Simon, New York audiences received the new play enthusiastically at the world premiere Saturday evening.",by,New York audiences received the new play,enthusiastically,Saturday evening,New York audiences received the new play,Level 2
178,"To prevent cavities, dental floss should be used daily after brushing one's teeth.",dental floss should be used,daily,brushing,one's,dental floss should be used,Level 2
179,"While researching the problem of violent crime, the Senate committee's discovery that handguns were used to commit 64 percent of all murders in the United States.",the Senate committee's discovery,were used,to commit,all murders,the Senate committee 's discovery,Level 2
180,"After reviewing the curriculum, several significant changes were made by the faculty in traditional business programs at Harvard University.",After reviewing the curriculum,several,were,in,After reviewing the curriculum,Level 3
181,"Having hit more home runs in one season than any other player in the history of baseball, Mark McGwire's record is famous.",hit,than,any other player,Mark McGwire's record,Mark McGwire 's record,Level 1
182,"Banned in the U.S., the effect of fluorocarbons continues at a level that could eventually damage the ozone layer, and bring about such serious results as high risk of skin cancer and global climate changes.",Banned in the U.S.,continues,eventually,such,Banned in the U.S.,Level 2
183,"To avoid jet lag, many doctors recommend that their patients begin adjusting one week before departure time by shifting one hour each day toward the new time schedule.",To avoid jet lag,begin,by shifting,time schedule,To avoid jet lag,Level 2
184,"Traditionally named for women, Bob was chosen as the first male name for a hurricane.",Traditionally,named for women,was chosen,the first,named for women,Level 3
185,"Founded in 1919, students and teachers who are interested in spending several months abroad may benefit from educational programs administered by the Institute for International Education.",Founded in 1919,who,may benefit,administered by,Founded in 1919,Level 3
186,To control quality and making decisions about production are among the many responsibilities of an industrial engineer.,making,about,are,among,making,Level 2
187,"The six main parts of a business letter are the address, the inside address, the salutation, the body, the closing, and signing your name.",six main parts,business letter,are,signing your name,signing your name,Level 2
188,To read literature and being introduced to a different culture are two excellent reasons for studying a foreign language.,being introduced,to,are,for studying,being introduced,Level 2
189,Ice skating and to go skiing are popular winter sports in the northern United States.,Ice skating,are,winter sports,in,Ice skating,Level 1
190,"To treat minor diarrhea, drink plenty of liquids, especially tea, water, and carbonated beverages, eat soup, yogurt, salty crackers, and bananas, and avoiding milk, butter, eggs, and meat for twenty-four hours.",To treat,eat,avoiding,for,avoiding,Level 2
191,"The Smithsonian Institute is famous because it contains such interesting exhibits as the flag that was raised over Fort McHenry in 1812, the airplane that the Wright brothers built for their first flight at Kitty Hawk, and there are the gowns worn by every firs t lady since Martha Washington.",was raised,in 1812,built,there are,there are,Level 2
192,"In order to become a law, a bill must be passed not only by the Senate but also the House of Representatives.",In order,must be passed,only,the House of Representatives,the House of Representatives,Level 2
193,"The cloverleaf is a common engineering design for expressways that permits traffic between two intersecting highways to move more safely, efficiently, and with ease.",permits,between,to move,with ease,with ease,Level 2
194,"A new product should be judged not by the prontises made in commercials and advertisements, but also by the results demonstrated in actual use.",should be judged,and,but also,demonstrated,but also,Level 1
195,"Snakes stick out their tongues, move them around, and also they retract them quickly to pick up odor molecules that aid in detecting direction.",Snakes,their,also they,to pick up,also they,Level 1
196,"Increasing involvement in agriculture by large corporations has resulted in what is known as agribusiness-that is, agriculture with business techniques, including heavy capitalization, specialization of production, and to control all stages of the operation.",by large corporations,has resulted in,is known as,to control,to control,Level 3
197,Blood plasma it is the transportation system for all of the widely separated organs in the human body.,it,all,widely,human body,it,Level 1
198,"Appointed by the General Assembly for five years, the Secretary-General of the United Nations must act in an impartial manner toward all members.",Appointed,for,must act,in an impartial manner,in an impartial manner,Level 2
199,"Humans who lived thousands of years ago, long before alphabets were devised, they used pictures to record events and to communicate ideas.",who,ago,they,to communicate,they,Level 1
200,"If one does not pick up the dry cleaning within thirty days, the management is not obligated to return it back.",the,within,obligated,back,back,Level 1
201,People who are competitive in nature are more likely to suffer from the effects of stress on their health.,who,in nature,to suffer,on,in nature,Level 2
202,International law is made up of the rules and customs that they deal with the relationships between different nations and the citizens of different nations.,is,that,they,between,they,Level 2
203,It was Isadora Duncan who was responsible for many of the new innovations that have made modern dance different from classical ballet.,It,who,new innovations,different from,new innovations,Level 1
204,"Little House on the Prairie, a successful television program, was adapted from a series of books by a young pioneer woman whose life was similar to that of the character called by name Laura.",series,whose,that of,by name,by name,Level 3
205,In recent years great advances forward have been made in the field of genetic research.,In recent years,forward,have,genetic research,forward,Level 1
206,Today the United States is one of the few countries in the Western Hemisphere that it has laws providing for the death penalty.,is,it,has,providing for,it,Level 1
207,"According to recent geological research, the climate of the states along the Canadian border is changing with rapidity.",According to,the climate,is,with rapidity,with rapidity,Level 2
208,World hunger it is one of the most urgent problems that we face today.,it,is,most urgent,we face,it,Level 1
209,"According to the Pythagorean theorem, the sum of the squares of the two sides of a triangle is equal as the square of the hypotenuse.",According,of a triangle,is,as,as,Level 3
210,The flag over the White House is risen at dawn every day by a color guard from the United States armed forces.,over the White House,is risen,at dawn,by,is risen,Level 2
211,Commercials on the educational television network are generally shorter comparing those on other networks.,are,generally,comparing,on,comparing,Level 2
212,The Food and Drug Administration does not declare a drug a carcinogen until it has been proven conclusively that the effects in rats can be generalized for human beings.,it,conclusively,in,be,in,Level 2
213,"In some states, the law allows drivers to turn right at a red light, but in other states, the law does not leave them do it.",to turn,other,leave,them,leave,Level 1
214,The effective of a project on the general population is difficult to measure unless a statistician is employed to tabulate the variables.,effective,to measure,is employed,to tabulate,effective,Level 2
215,"When a person is arrested, the cops must let him make one telephone call.",the cops,let,him,telephone call,the cops,Level 2
216,"If the owner of a bar suspicions that someone's identification is not valid, he can refuse to serve the order.",suspicions,is,to serve,the order,suspicions,Level 1
217,The condition of menkind has been improved by recent technological advances.,menkind,has,by,technological,menkind,Level 1
218,"The classify of plants begins with those having the simplest structure, and progresses to include the most highly organized forms in four divisions called phylums.",classify,those,most highly organized,called,classify,Level 1
219,"With the develop of a cheap process for desalination, 97 percent of the Earth's water will become available for freshwater purposes.",develop,for desalination,the Earth's water,will become available,develop,Level 2
220,An understand of calculus is essential to the study of engineering.,An understand,is,to the study,engineering,An understand,Level 1
221,Henry Wadsworth Longfellow not only wrote poems and stories but also presided the modem language department at Harvard University for more than eighteen years.,also,presided,for,more than,presided,Level 2
222,Almost alI life depends to chemical reactions with oxygen to produce energy.,Almost,depends,to produce,energy,depends,Level 2
223,A swarm of locusts is responsible the consumption of enough plant material to feed a million and a half people.,is responsible,enough plant material,to feed,and a half,is responsible,Level 1
224,Oyster farming has been practice in most parts of the world for many years.,farming,practice,most,for,practice,Level 1
225,Those of us who smoke should have their lungs x-rayed regularly.,Those,who,their,regularly,their,Level 1
