antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'tense'}),frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'determiners'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'determiners', 'nouns'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'determiners', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'prepositions'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'conjunctions', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'prepositions'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'determiners'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'conjunctions', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'determiners'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'prepositions'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'conjunctions', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'determiners', 'nouns'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'determiners', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'nouns'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'tense', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'prepositions'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'conjunctions', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'determiners'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'prepositions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'prepositions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense', 'determiners'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense', 'prepositions'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners', 'prepositions'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense', 'determiners'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense'})","frozenset({'prepositions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners'})","frozenset({'prepositions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'prepositions'})","frozenset({'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'determiners'})","frozenset({'conjunctions', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense'})","frozenset({'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'determiners'})","frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'conjunctions', 'determiners', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'conjunctions', 'tense', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'nouns'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'prepositions'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns', 'prepositions'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'nouns'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs'})","frozenset({'prepositions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})","frozenset({'prepositions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'prepositions'})","frozenset({'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns'})","frozenset({'conjunctions', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs'})","frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns'})","frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'conjunctions', 'nouns', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'conjunctions', 'main_verbs', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'nouns'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'tense'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense', 'nouns'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns', 'tense'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs'})","frozenset({'tense', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})","frozenset({'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense'})","frozenset({'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns'})","frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense'})","frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'nouns'})","frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'main_verbs', 'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'conjunctions', 'tense', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'conjunctions', 'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'conjunctions', 'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense', 'nouns'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense', 'prepositions'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns', 'prepositions'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense', 'nouns'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'tense'})","frozenset({'prepositions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})","frozenset({'prepositions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'prepositions'})","frozenset({'tense', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'nouns'})","frozenset({'conjunctions', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense'})","frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns'})","frozenset({'conjunctions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'tense', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'conjunctions', 'nouns', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'conjunctions', 'tense', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'tense', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'determiners'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'prepositions'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners', 'prepositions'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'determiners'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs'})","frozenset({'prepositions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners'})","frozenset({'prepositions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'prepositions'})","frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})","frozenset({'conjunctions', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs'})","frozenset({'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'determiners'})","frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'prepositions', 'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'conjunctions', 'determiners', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'conjunctions', 'main_verbs', 'prepositions'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'conjunctions', 'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'prepositions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'prepositions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'nouns'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'tense', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'prepositions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'prepositions', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'determiners'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs', 'nouns'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners', 'nouns'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners', 'nouns'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'main_verbs'})","frozenset({'determiners', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'determiners'})","frozenset({'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'conjunctions', 'nouns'})","frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})","frozenset({'conjunctions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns'})","frozenset({'conjunctions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'determiners', 'nouns'})","frozenset({'conjunctions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),"frozenset({'main_verbs', 'determiners', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'conjunctions', 'determiners', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'conjunctions', 'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'conjunctions', 'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'nouns'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'tense', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
