question_text,A,B,C,D,key_answer
An important effect that criticism can have on contemporary poets is the assurance that there is a growing interest their work.,effect,can have,there is a,interest their,D
"Music festivals, which date back as far as the mid-seventeenth century; have increased significantly in popular within the past few decades.",far as,significantly,popular,past,C
"Human skin is a complex, sensitive organ that serves many functions necessary for the maintain of life.",a complex,that,functions,maintain,D
"Space photography and advanced measurement technology, including a laser reflector places on the Moon, have possible made extremely precise measurements of the surfaces of the Earth.",Space,including,have possible made,extremely,C
The scale of the demographic change that are now occuring and that are projected for the near future is unprecendented in human history.,change,projected,future,human,A
"The paintings of artist Abraham Rattner are noted for their brilliant color, rich texture, and symbolic.",The paintings,noted for,color,symbolic,D
Between the high and low tidemarks of marine coassts existing abundant and varied plant and animal life.,Between,existing,varied,and,B
The total amount of water in the world's ecological system has remained the same that throughout the ages.,amount of water,ecological system,same that,ages,C
Butterfiles and moths comprise the Lepidoptera order of insects find throughout most of the world.,comprise,find,throughout,most of,B
"The planet Neptune has two known satellites: one about the size with Earth's Moon, the other much smaller.",planet,known,about,with,D
Harry Truman's victory over Thomas Dewey was one of the biggest surprise in the political history of the United States.,over,of,surprise,political,C
"The narwhal resembles like other whales, but it has a long, spiral tush growing from its head.",resembles like,a long,growing,its,A
"In exchange for requiring them to disclose the workings of their inventions, patents give inventors temporary, legally monopolies.",for,to disclose,inventors,legally,D
Lillian Gish is best known for her roles in such silently films as The Birth of a Nation and Broken Blossoms.,best,roles,silently,as,C
"Oraibi, Arizona, built by the Hopi Indians during 1100's, is probably the oldest continuous inhabited settlement in the United States.",built by,probably the,continuous,settlement,C
It may take several hundred years to build inch of topsoil.,It,may take,hundred years,build inch,D
"Known for power, speed, and, maneuverability, the goshawk has short wings and a long tail, enabling them to dodge branches in pursuit of prey.",speed,a,enabling,them,D
"Lubrication is essential in machinery because if the moving part of a machine come into direct contact with each other, friction interferes with motion.",if,moving part,direct contact,each other,B
One basic principle of international air law recognize a country's complete sovereignty over the airspace above its territory.,international,recognize,over,territory,B
"If biennials were planted this year, they will be likely to bloom next year",will be,likely,to bloom,next year,A
The value of the dollar declines as the rate of inflation raises.,of the dollar,declines,as,raises,D
"I want to go to the beach, but I can neither swim nor I don't like the sun.",but I can,neither swim,nor I don't like the sun,sun,C
"Although she was tired, but she decided to finish her homework before going to bed.",Although she was tired,but she decided,to finish,going to bed,B
I enjoy studying geography at school and now I have enrolled at the Economics Faculty.,enjoy,studying,enrolled,Economics,A
The teachers are expecting to calling a meeting tomorrow in order to review the disciplinary problems,expecting,calling,meeting,the,B
I want some meet your sister when she comes to see you she sounds very nice.,I,some,when,very,B
My friends tell mine the English exam is quite difficult but I am not worried.,mine,exam,quite,not,A
"The tickets, which are extremely good value, can be buy from large supermarkets.",tickets,which,good,buy,D
The number of people who asked for the discount been low but grew during the summer period.,who,asked,been,grew,C
He wanted always to be a doctor and after doing medicine he now works in a hospital.,wanted,a,after,works,A
The informations they give us was not very helpful so I consulted the website instead.,informations,give,helpful,so,B
"There isn’t much time, do you think we should get a taxi beneath the exhibition centre?.",much,do,think,beneath,D
He graduated in languages in June and is now thinking of do a second degree in psychology.,in,is,thinking,do,D
The policeman show us an identical picture of the man who stole the car.,show,identical,stole,the,A
How long does it take to get of the station on foot from your house?,does,of,from,your,B
I was so angry that I took the broken watch to the jewellers to got my money back.,was,so,to,got,D
He rang me this morning along tell me that he had passed his driving test.,rang,along,had,driving,B
I will not be able to go in holiday this year unless I will get a part-time job.,be,in,this,unless,B
It being such a nice day that they decided to have a picnic in the field.,being,such,that,in,A
I haven't never seen anybody who rides a horse so well before.,haven't,anybody,rides,so well,A
"My boyfriend always taking me to see horror films, but I do not like them.",My,boyfriend,taking,do,C
We went to Guatemala last year of we were tired of the usual beach holiday.,went,of,tired,the,B
"After quartz, calcite is the most abundant mineral aboard the crust of the Earth.",After,most,aboard,of,C
"Regards as the world’s foremost linguistic theorist, Noam Chomsky continues to create new theories about language and language learning.",Regards,the,Chomsky,to,A
"Whenever any area receives more water than the ground can absorb, the excess water flows to the lowest level, carried loose mineral.",Whenever,than,to,carried,D
In 1935 seismologist Charles F Richter devise a numerical scale for rating the strength of earthquakes.,In,devise,for,of,B
After a Second World War the woman wage earner became a standard part of middle-class life in the United States.,After,a,Second,became,B
"Celluloid and plastics have largely replaced genuine ivory in the manufacture like such things as buttons, billiard balls, and piano keys.",have,replaced,in,like,D
One of the tenets during New Criticism is that a critic need not tell readers what to think about a story.,the,during,is,what,B
"The outer ear, which included the fleshy pinna and the auditory canal, picks up and funnels sound waves toward the eardrum.",The,included,picks,toward,B
"An chair may be the oldest type of furniture, although its importance has varied from time to time and from country to country.",An,of,although,varied,A
"When wood, natural gas, oil, or any other fuel burns, substances in the fuel was combined with oxygen in the air to produce heat.",in,was,with,produce,B
Deserts are arid land areas where more water was lost through evaporation than is gained through precipitation.,are,land,was,lost,C
"When goshawk chicks are young, both parents had shared in the hunting duties and in guarding the nest.",goshawk,are,had shared,the,C
"Not only is whales among the largest animals that ever lived, but they are also among the most intelligent.",is,that,are,the,A
"Fish are the most ancient form of vertebrate life, and from them have evolved all other vertebrates.",are,ancient,of,have evolved,D
"There is about 350 species of sharks, and although they are all carnivorous, only a few species will attack people.",is,about,are,all,A
"In the United States, there are many holidays throughout a year.",the,there,many,a,D
Tomatoes growing all year long in Florida.,Tomatoes,growing,all,in,B
Even thinks my aunt lost the beauty contest she is still the prettiest of all the other contestants.,thinks,lost,is,prettiest,A
The thief who stole my watch was compelling to restore it again.,who,compelling,to,it,B
I try to figuring out the answer of what the function of the organization is.,figuring,of,what,is,A
"The huge have increased in popularity of specialty coffees has contributed to the success of Starbucks, Barney’s and other coffee purveyors.",huge,have increased,contributed,and,B
"When the silkworm gets through to lay its eggs, it dies.",the silkworm,to lay,its,it dies,B
A barometer is a device with a sealed metal chamber designed to reading the changes in the pressure of air in the atmosphere.,A barometer,sealed,to reading,air,C
"Since lightning was probably significant in the formation of life, understanding it might help us to understanding life itself.",it,might help,to understanding,itself,C
"If the oxygen supply in the atmosphere was not replenished by plants, it would soon be exhausted.",in the atmosphere,was,by plants,exhausted,B
"The Girl Scouts, which was found by Juliette Gordon Low in 1912, has grown to a current membership of more than three million girls.",found,in 1912,has grown,more than,A
It is generally believed that Thomas Jefferson was the one who had researched and wrote the Declaration of Independence during the months prior to its signing in July 1776.,It is generally believed,wrote,its signing,in July 1776,B
"Although some higher structures have been build in New York City, none characterizes the skyline better than the Empire State Building.",some higher structures,have been build,characterizes,better than,B
Research in genetics and DNA having had a profound influence on the direction of treatment for a large number of diseases.,having,profound,on,a large number,A
"Bones composed chiefly of calcium, phosphorous, and a fibrous substance known as collagen.",Bones,composed,chiefly,known as,B
"During the past decade, twenty million college graduates spended more than fifty billion dollars in ten-year student loans.",During,spended,more than,ten-year,B
There is no limit to the diversity to be finding in the cultures of people throughout the world.,no,finding,cultures,people,B
The government requires that a census taken every ten years so that accurate statistics may be compiled.,taken,every ten years,statistics,may be compiled,A
It is important that cancer is diagnosed and treated as early as possible in order to assure a successful cure.,is,diagnosed,as early as possible,to assure,A
"Before railroad lines were extended from Missouri to New Mexico, millions of dollars in trade was used to be carried over the Santa Fe Trail by wheeled wagons.",railroad lines,extended,was used to be carried,by wheeled wagons,C
"Based on a decline in vehicular deaths during the past decade, seat belts, air bags, baby seats, and other safety features in newer automobiles must be save lives.",baby seats,newer,save,lives,C
The gold used in jewelry is not strong enough unless it be alloyed,The gold,strong enough,it,be,D
General damage that been caused by aphids or pollution is sometimes known as blight.,been caused,by aphids or pollution,sometimes,known as,A
"Fred Astaire is said to had been the most popular dancer of his time, but he was also a talented actor, singer, and choreographer.",is said,had been,the most popular dancer,talented,B
The understanding electricity depends on a knowledge of atoms and the subatomic particles of which they are composed.,The understanding,electricity,depends on,are composed,A
The U.S. Postal Service delivers more mails in one day than Federal Express does in one year.,more,mails,than,does,B
One of the most distinctive plant found in the desert is the Saguaro cactus.,most,plant,found,the,B
A thunder usually follows by lightning by five seconds for every mile between the flash and the observer.,A thunder,usually,for every mile,between,A
The stories of Dr. Seuss have been enjoyed by millions of childrens.,The stories,have been enjoyed,by millions,childrens,D
Collections of the simple and functional Shaker furniture can be seen in museum throughout the United States.,Collections,furniture,can be seen,in museum,D
The decathlon is a two-day athletic competition which consists of ten types track and field events.,two-day,athletic competition,which,ten types,D
Provide pensions for retired persons is the primary function of the social security system.,Provide,pensions,is,the primary function,A
New equipments for medical diagnosis have made many formerly unpleasant procedures quite painless.,equipments,have made,formerly,procedures,A
Sloths spend most of its time hanging upside down from trees and feeding on leaves and fruit.,most,its,feeding,fruit,B
"When the European settlers came in the seventeenth century, the newcomers began a systematic effort to push the Native Americans into the wilderness and to take their land from their.",in the seventeenth century,to push,their land,from their,D
"After Dr. Werner Arber discovered restriction enzymes, Drs. Daniel Nathan, Hamilton Smith, and him were awarded the Nobel Prize for their research in that field.",discovered,him,were awarded,their,B
There are not many people which adapt to a new culture without feeling some disorientation at first.,are,many,which,feeling,C
Those of us who have a family history of heart disease should make yearly appointments with their doctors.,who,should make,yearly,their,D
"George Herman Ruth, which was better known as Babe Ruth, began his baseball career in 1914 with the Baltimore Orioles.",which,better,as,began,A
"The first full-length animated movie, Snow White, was produced by Walt Disney whom creative genius also inspired such animated classics as Bambi and Cinderella.",The first,was produced,whom,such,C
"In advanced stages of anorexia, the patient is unable to feed themself.",advanced,the patient,to feed,themself,D
"It is documented that Custer led his troops into a ravine near the Little Big Horn, where a huge army of Sioux Indians was waiting for they.",It is documented,led,was waiting,they,D
The sea horse is unique among fish because the female deposits their eggs in a pouch that the male carries until the small sea horses are hatched.,among,because,their eggs,are hatched,C
There are more potatoes cultivated than any the other vegetable crop worldwide.,There are,cultivated,the other,vegetable crop,C
"Marian Anderson, recognized both in the U.S. and in Europe as a real great vocalist, was the first black singer to appear with the Metropolitan Opera Company.",and,real great,was,the first,B
"At the core of a star, temperatures and pressures are so great as particles collide and connect in a process called fusion.",At the core,so great as,in a process,called,B
The Cartwheel Galaxy is 500 million light year away from Earth.,is,light year,from,Earth,B
"Because none of food is as nutritious for a baby as its mother's milk, many women are returning to the practice of breast feeding.",none of food,as nutritious,its,many women,A
"Euthanasia, the practice of assisting the death of a person suffering from an incurable disease, is such a controversial issue as it is illegal in most countries.",suffering,as,it is,in most countries,B
"The conversations on the TOEFL will be spoken just one time; therfore, you must listen very careful in order to understand what the speakers have said.",will be spoken,very careful,to understand,what,B
"Gold, silver, and copper coins are often alloyed with harder metals to make them hard as enough to withstand wear.",harder,make,them,hard as enough,D
"Alligators are about the same color than crocodiles, although the adults may be slightly darker with broader heads and blunter noses.",about,than,may be,blunter,B
Laser discs provide images of best quality than those of either television signals or video tapes.,provide,best quality,those,either,B
The New York City subway system is the most longest underground railroad operating in the world.,subway system,the most longest,underground railroad,operating,B
School children in the same grade in American schools are usually the same old as their classmates.,the same grade,are,usually,the same old,D
"Benjamin Franklin was the editor of the larger newspaper in the colonies, a diplomatic representative to France and later to England, and the inventor of many useful devices.",was,the larger,the inventor,many,B
The standard for cleanliness in the area where a microchip is manufactured is same that of an operating room in a hospital.,where,a microchip,is manufactured,same,D
"Mountain bikes differ ordinary bicycles in that they have ten or more gears, a more rugged frame, and wider treads on the tires.",differ,they,more rugged,wider,A
"As a rule, the more rapid the heart rate, faster the pulse.",As a rule,the more,heart rate,faster,D
"Alike her friend and fellow impressionist artist, Edgar Degas, Mary Cassatt used brush strokes and colors in new and different ways.",Alike,artist,used,different ways,A
"Some metals such gold, silver, copper, and tin occur naturally, and are easy to work.",Some,such,naturally,to work,B
"Because the expense of traditional fuels and the concern that they might run out, many countries have been investigating alternative sources of power.",Because,they,might run out,have been investigating,A
Only seventeen on one hundred business calls get through to the correct person on the first attempt.,on,business calls,get through to,the first,A
The concept of lift in aerodynamics refers to the relationship among the increased speed of air over the top of a wing and the higher pressure of the slower air underneath.,refers to,among,increased,the slower air,B
A prism is used to refract light so as it spreads out in a continuous spectrum of colors.,to refract,so as,it,of colors,B
Nuclear power plants are still supported by the society of Professional Engineers in spite unfortunate accidents like the one at Three Mile Island.,still,by,in spite,at,C
National parks include not only the most scenic places in the nation but places distinguished for their historic or scientific interest.,include,the most scenic,but,distinguished,C
"The plastic arts, mainly sculpture and ceramics, that are produced by modeling or molding the materials into interesting shapes.",The,mainly,that are,by modeling or molding,C
"Ocean currents that help transfer heat from the equator to the poles, thereby creating a more balanced global environment.",that,heat,creating,more balanced,A
Gas and dust that stream away from a comet forming one or more tails that may extend for millions of miles.,Gas and dust,stream,forming,that may extend,C
"The Northwest Ordinances which regulated the sale and settlement of land between the Great Lakes and the Mississippi River, territories still occupied by American Indian nations.",which,between,occupied,by American Indian nations,A
"The larva of the boll weevil, which it feeds on the immature pods of the cotton plant, often destroying an entire crop.",The larva,which it feeds,cotton plant,destroying,B
"By studying the fossils of pollen, which extremely resistant to decay, researchers can gain useful information about the vegetation of the past.",By studying,which,can gain,information,B
The attribution of human characteristics to animals or inanimate objects appears in the mythologies of many cultures is a literary device called anthropomorphism.,The attribution,appears,many cultures,called,B
"Although there are approximately 120 intensive language institutes in the United States in 1970, there are more than four times as many now.",are,approximately,in,four times as many,A
Cartographers cannot make an accurate map because the political situation in many areas changes so rapidly that they were not able to draw the boundaries correctly.,so,were,to draw,correctly,B
"Although Emily Dickinson publishes only three of her verses before she died, today there are more than one thousand of her poems printed in many important collections.",publishes,only,are,more than,A
Dew usually disappeared by seven o'clock in the morning when the sun comes up.,usually,disappeared,by,in the morning,B
"Seven months before the stock market crashed in 1929, President Hoover said that the economy of the nation is secure.",stock,in,is,secure,C
Most archaeologists agree that humans are living in the area around Philadelphia for about twelve thousand years.,Most,are living,for,about,B
"Although we once thought that Saturn has only seven rings, we now know that it has hundreds of rings extending for thousands of miles.",has,it,extending,miles,A
"In 1975, according to the National Center for Health Statistics, the average life expectancy for people born during that year is 72.4 years.",according,born,during,is,D
"Champlain founded a base at Port Royal in 1605, and builds a fort at Quebec three years later.",founded,in 1605,builds,Quebec,C
"According to the Congressional Record, almost one third of all new laws in 1991 are passed to celebrate some day, week, or month for a special interest group's purposes, such as Music Week.",According to,all new laws,are passed,to celebrate,C
"The first significant engagement of the American Revolution occurs on June 17, 1775, and has been referred to as the Battle of Bunker Hill.",The first,occurs,on June 17,has been referred to,B
"Originally, the purpose of a sampler is to record complex stitches so that they could be duplicated later.",Originally,is,to record,they,B
Many ancient cultures begin their spiritual life by worshipping the Sun.,Many,begin,their,by worshipping,B
Both a term paper and a final exam is often required for a college class.,and,is,required,for,B
The popularity of soccer in the United States were increased significantly by the playing of the World Cup in cities throughout the country in 1994.,were increased,significantly,the playing,in 1994,A
"Not one in a hundred seeds develop into a healthy plant, even under laboratory conditions.",in a hundred,develop,into,even,B
Benjamin Franklin strongly objected to the eagle's being chosen as the national bird because of their predatory nature.,strongly,to,because of,their,D
"In order to grow well, the Blue Spruce, like other pine trees, require a temperate climate.",well,like,other,require,D
Few airports in the United States is as modern as that of Atlanta.,is,as,that,of,A
"Work on improving industrial disposal methods were begun in the early 1970s, shortly after the Clean Air bill was passed by Congress.",on improving,were,shortly,by Congress,B
The officials of the Board of Elections asked that each voter present their registration card and a valid Texas driver's license before receiving a ballot.,present,their,driver's,receiving,B
"If one has a special medical condition such as diabetes, epilepsy, or allergy, it is advisable that they carry some kind of identification in order to avoid being given improper medication in an emergency.",has,they,carry,being,B
"A large percentage of federal employees are participating in an experimental four-day work week aimed at curbing gasoline consumption and pollution, two of the most urgent problems facing cities today.",are participating,four-day,work week,the most urgent problems,A
One-cent coins issued in the United States since 1982 is 96 percent zinc.,One-cent,issued,since 1982,is,D
"According to a team of scientists, there are evidence that Mount Everest is still rising.",According to,a team of scientists,there are,rising,C
"The urinary system, including both the bladder and the kidneys, are contained in the cavities of the trunk.",The urinary system,including,and,are contained,D
"In the 1920s, Art Deco, known for plastic and chrome-plated objects, were very popular.",In the 1920s,known,chrome-plated,were,D
"After finishing Roots, the one-hundred-year history of an African-American family, the Nobel Prize committee awarded author Alex Haley a special citation for literary excellence.",After finishing,the one-hundred-year,awarded,for,A
"A competitive sport, gymnasts perform before officials who must use their judgment along with their knowledge of the rules to determine the relative skill of each participant.",A competitive sport,who,along with,to determine,A
"To remove stains from permanent press clothing, carefully soaking in cold water before washing with a regular detergent.",from,carefully soaking,before washing,a,B
"Found in Tanzania by Mary Leakey, some archeologists estimated that the three-million-year-old fossils were the oldest human remains to be discovered.",Found in Tanzania by Mary Leakey,three-million-year-old,the oldest,to be discovered,A
"Originally having been buried in Spain, and later moved to Santo Domingo in the Dominican Republic, Columbus's final resting place is in",Originally,been,in Spain,Columbus's final resting place is,D
"Written by Neil Simon, New York audiences received the new play enthusiastically at the world premiere Saturday evening.",by,New York audiences received the new play,enthusiastically,Saturday evening,B
"To prevent cavities, dental floss should be used daily after brushing one's teeth.",dental floss should be used,daily,brushing,one's,A
"While researching the problem of violent crime, the Senate committee's discovery that handguns were used to commit 64 percent of all murders in the United States.",the Senate committee's discovery,were used,to commit,all murders,A
"After reviewing the curriculum, several significant changes were made by the faculty in traditional business programs at Harvard University.",After reviewing the curriculum,several,were,in,A
"Having hit more home runs in one season than any other player in the history of baseball, Mark McGwire's record is famous.",hit,than,any other player,Mark McGwire's record,D
"Banned in the U.S., the effect of fluorocarbons continues at a level that could eventually damage the ozone layer, and bring about such serious results as high risk of skin cancer and global climate changes.",Banned in the U.S.,continues,eventually,such,A
"To avoid jet lag, many doctors recommend that their patients begin adjusting one week before departure time by shifting one hour each day toward the new time schedule.",To avoid jet lag,begin,by shifting,time schedule,A
"Traditionally named for women, Bob was chosen as the first male name for a hurricane.",Traditionally,named for women,was chosen,the first,B
"Founded in 1919, students and teachers who are interested in spending several months abroad may benefit from educational programs administered by the Institute for International Education.",Founded in 1919,who,may benefit,administered by,A
Rock music is not only popular in the United States but also abroad.,is,not only popular,in,the,B
To control quality and making decisions about production are among the many responsibilities of an industrial engineer.,making,about,are,among,A
"The six main parts of a business letter are the address, the inside address, the salutation, the body, the closing, and signing your name.",six main parts,business letter,are,signing your name,D
To read literature and being introduced to a different culture are two excellent reasons for studying a foreign language.,being introduced,to,are,for studying,A
Ice skating and to go skiing are popular winter sports in the northern United States.,Ice skating,are,winter sports,in,A
"To treat minor diarrhea, drink plenty of liquids, especially tea, water, and carbonated beverages, eat soup, yogurt, salty crackers, and bananas, and avoiding milk, butter, eggs, and meat for twenty-four hours.",To treat,eat,avoiding,for,C
"The Smithsonian Institute is famous because it contains such interesting exhibits as the flag that was raised over Fort McHenry in 1812, the airplane that the Wright brothers built for their first flight at Kitty Hawk, and there are the gowns worn by every firs t lady since Martha Washington.",was raised,in 1812,built,there are,D
"In order to become a law, a bill must be passed not only by the Senate but also the House of Representatives.",In order,must be passed,only,the House of Representatives,D
"The cloverleaf is a common engineering design for expressways that permits traffic between two intersecting highways to move more safely, efficiently, and with ease.",permits,between,to move,with ease,D
"A new product should be judged not by the prontises made in commercials and advertisements, but also by the results demonstrated in actual use.",should be judged,and,but also,demonstrated,C
"Snakes stick out their tongues, move them around, and also they retract them quickly to pick up odor molecules that aid in detecting direction.",Snakes,their,also they,to pick up,C
"Thought by some to be the first labor party, the Workingman's Party struggled not only for better working conditions also for public schools for all children.",Thought,labor,also,all children,C
The cerebellum's main functions are the maintenance of posture and move the body.,main functions,are,the maintenance,move,D
"Increasing involvement in agriculture by large corporations has resulted in what is known as agribusiness-that is, agriculture with business techniques, including heavy capitalization, specialization of production, and to control all stages of the operation.",by large corporations,has resulted in,is known as,to control,D
Some international students use a cassette recorder to make tapes of their classes so that they can repeat the lectures again.,use,to make,so that,again,D
Blood plasma it is the transportation system for all of the widely separated organs in the human body.,it,all,widely,human body,A
"Appointed by the General Assembly for five years, the Secretary-General of the United Nations must act in an impartial manner toward all members.",Appointed,for,must act,in an impartial manner,D
"Humans who lived thousands of years ago, long before alphabets were devised, they used pictures to record events and to communicate ideas.",who,ago,they,to communicate,C
"If one does not pick up the dry cleaning within thirty days, the management is not obligated to return it back.",the,within,obligated,back,D
The southern part of the United States has ideal conditions for raising cotton because the climate is sufficiently warm enough to allow a six-month growing period.,for raising,enough,to allow,a six-month growing period,B
People who are competitive in nature are more likely to suffer from the effects of stress on their health.,who,in nature,to suffer,on,B
International law is made up of the rules and customs that they deal with the relationships between different nations and the citizens of different nations.,is,that,they,between,C
It was Isadora Duncan who was responsible for many of the new innovations that have made modern dance different from classical ballet.,It,who,new innovations,different from,C
"Little House on the Prairie, a successful television program, was adapted from a series of books by a young pioneer woman whose life was similar to that of the character called by name Laura.",series,whose,that of,by name,D
In recent years great advances forward have been made in the field of genetic research.,In recent years,forward,have,genetic research,B
Today the United States is one of the few countries in the Western Hemisphere that it has laws providing for the death penalty.,is,it,has,providing for,B
"According to recent geological research, the climate of the states along the Canadian border is changing with rapidity.",According to,the climate,is,with rapidity,D
World hunger it is one of the most urgent problems that we face today.,it,is,most urgent,we face,A
"According to the Pythagorean theorem, the sum of the squares of the two sides of a triangle is equal as the square of the hypotenuse.",According,of a triangle,is,as,D
The flag over the White House is risen at dawn every day by a color guard from the United States armed forces.,over the White House,is risen,at dawn,by,B
Commercials on the educational television network are generally shorter comparing those on other networks.,are,generally,comparing,on,C
The Food and Drug Administration does not declare a drug a carcinogen until it has been proven conclusively that the effects in rats can be generalized for human beings.,it,conclusively,in,be,C
"In some states, the law allows drivers to turn right at a red light, but in other states, the law does not leave them do it.",to turn,other,leave,them,C
The effective of a project on the general population is difficult to measure unless a statistician is employed to tabulate the variables.,effective,to measure,is employed,to tabulate,A
"When a person is arrested, the cops must let him make one telephone call.",the cops,let,him,telephone call,A
"If the owner of a bar suspicions that someone's identification is not valid, he can refuse to serve the order.",suspicions,is,to serve,the order,A
The condition of menkind has been improved by recent technological advances.,menkind,has,by,technological,A
"The classify of plants begins with those having the simplest structure, and progresses to include the most highly organized forms in four divisions called phylums.",classify,those,most highly organized,called,A
"With the develop of a cheap process for desalination, 97 percent of the Earth's water will become available for freshwater purposes.",develop,for desalination,the Earth's water,will become available,A
An understand of calculus is essential to the study of engineering.,An understand,is,to the study,engineering,A
Henry Wadsworth Longfellow not only wrote poems and stories but also presided the modem language department at Harvard University for more than eighteen years.,also,presided,for,more than,B
Almost alI life depends to chemical reactions with oxygen to produce energy.,Almost,depends,to produce,energy,B
A swarm of locusts is responsible the consumption of enough plant material to feed a million and a half people.,is responsible,enough plant material,to feed,and a half,A
Oyster farming has been practice in most parts of the world for many years.,farming,practice,most,for,B
Those of us who smoke should have their lungs x-rayed regularly.,Those,who,their,regularly,C
"After the team of geologists had drawn diagrams in their notebooks and wrote explanations of the formations which they had observed, they returned to their campsite to compare notes.",their,wrote,which,to compare,B
"If Robert Kennedy would have lived a little longer, he probably would have won the election.",would have lived,a little longer,probably,won,A
It was Shirley Temple Black which represented her country in the United Nations and later became an ambassador.,It,which,represented,later,B
"The prices at chain stores are as reasonable, if not more reasonable, as those at discount stores.",at,are,if not more,as,D
It is extremely important for an engineer to know to use a computer.,It is,extremely,for,to know,D
Historically there has been only two major factions in the Republican Party-the liberals and the conservatives.,Historically,there,has been,only,C
Whitman wrote Leaves of Grass as a tribute to the Civil War soldiers who had laid on the battlefields and whom he had seen while serving as an army nurse.,had laid,whom,had seen,while serving,A
One of the first and ultimately the most important purposeful of a reservoir is to control flooding.,ultimately,purposeful,to control,flooding,B
The Chinese were the first and large ethnic group to work on the construction of the transcontinental railroad system.,The Chinese,large,to work,of,B
The range of plant life on a mountainside is a results of differences in temperature and precipitation at varying altitudes.,is,results,differences,varying,B
Even a professional psychologist may have difficulty talking calm and logically about his own problems.,Even,calm,about,his own,B
"The more the relative humidity reading rises, the worst the heat affects us.",rises,the worst,affects,us,B
"Because correlations are not causes, statistical data which are extremely easy to misuse",causes,which are,extremely,to misuse,B
"Lectures for the week of March 22-26 will include the following: The Causes of the Civil War, The Economy of the South, Battle Strategies, and The Assassinate Lincoln.",for,will include,following,The Assassinate,D
"Despite of many attempts to introduce a universal language, notably Esperanto and Idiom Neutral, the effort has met with very little success.",Despite of,many,to introduce,little,A
"As every other nation, the United States used to define its unit of currency, the dollar, in terms of the gold standard.",As,other,used to define,its,A
It is necessary that one met with a judge before signing the final papers for a divorce.,met,before signing,the final papers,for a divorce,A
"Until recently, women were forbidden by law from owning property.",Until recently,were,by law,from owning,D
"According to the graduate catalog, student housing is more cheaper than housing off campus.",According,is,more cheaper,than,C
